tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1288699097902456835g,It brings tears to my eyes that we must live in so much fear for our black men &amp; boys. 😢 https://t.co/kOa6rfkwGm,http://pbs.twimg.com/media/EeJg-6kXkAA1NhL.jpg,NA,NA,NA,NA,NA,NA,black men,black,NA,NA,NA,NA
1300635343620800513g,"@AlabamaFTBL I’m wondering, why even play. Use you voices to combat systemic racism and stupid ungrateful fans!! https://t.co/gQtGZcSya1",http://pbs.twimg.com/media/EgzI84NWAAUKRLS.jpg,NA,NA,NA,NA,NA,NA,racism,minority,NA,NA,NA,NA
1266188002167894016g,Sitting here and having such a hard time grasping why he didn’t stop? Why did he continue while he was begging for his life? Crying for his mother? Completely complying? Why did the other officer not stop him? My heart hurts that there is that much evil. #BlackLivesMatter https://t.co/7h8ORKxL6x,http://pbs.twimg.com/media/EZJnRkyUcAAXy-E.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1324696074154471427g,"@GramBruh @HarryFo78163448 @realmagahulk Sir states adopted harsher crime laws before the crime bill. Those are talking points, smart people know that conservatives did not care until now to start using that Crime Bill in their discussion. Trump supports racism, end of discussion! https://t.co/6CqN87OMGP",http://pbs.twimg.com/media/EmJEDwMXUAIpUEy.jpg,bi,bisexual,NA,NA,NA,NA,racism,minority,NA,NA,NA,NA
1284503570910343168g,Geek funny jokes. Even racism from printer. #jokes #geektech https://t.co/vwD9XJxNCv,http://pbs.twimg.com/media/EdN5MLuVcAcZzvW.jpg,NA,NA,NA,NA,NA,NA,racism,minority,NA,NA,NA,NA
1269657177305858048g,"@scott_m_coley Scott, people like me reject your assertion that we ARE in a “movie theater” based on the case data which don’t show systemic police bias against blacks. Blacks who commit violent crime are less likely than whites to be shot by police. The “fix” is already in. https://t.co/Z93IPaHxD0",http://pbs.twimg.com/media/EZ66eMyWAAAnx-r.jpg,bi,bisexual,NA,NA,NA,NA,blacks,black,NA,NA,whites,white
1265650967367876609g,"Seems like an appropriate time to bring this back. Taken in the aftermath of Freddie Gray’s murder in Baltimore City, 2015. #BlackLivesMatter #GeorgeFloyd https://t.co/x1t2WRA5eY",http://pbs.twimg.com/media/EZB-1scXQAEHrLr.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,freddie gray,black
1229856263795855362g,"Fellas, is it gay to let your girlfriend suck your dick? https://t.co/RjGr2ABct3",http://pbs.twimg.com/media/ERFTv7zXYAQ0oIr.jpg,gay,gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1267445019339886594g,This explains it all. #iamwithyou #BlackLivesMatter https://t.co/SQ2kGX4Zgq,http://pbs.twimg.com/media/EZbehqmWkAAMVI3.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1269451315224117248g,This kind of douche is what causes racist in our country!! https://t.co/eW0L4VRApl,http://pbs.twimg.com/media/EZ3_PfdXQAEC6rZ.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1237052216512577537g,#coronavirus #COVID2019 #WuhanVirus https://t.co/dYECg7e2EE,http://pbs.twimg.com/media/ESrkbvBXgAIW1zz.jpg,NA,NA,NA,NA,NA,NA,wuhanvirus,asian,NA,NA,NA,NA
1233510438626906120g,"Hillbilly: Ur suckin me dry, &amp; callin me #dusty https://t.co/invBj29gJd",http://pbs.twimg.com/tweet_video_thumb/ER5PM_sXUAEhnmK.jpg,bi,bisexual,NA,NA,NA,NA,hillbilly,white,NA,NA,NA,NA
1273034653407027200g,#blacklivesmatter https://t.co/2JiO7n1qLy,http://pbs.twimg.com/media/Eaq6RVZXsAE8G43.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1271404681059880961g,@WhiteHouse @realDonaldTrump He forgot many millions of American citizens because he doesn’t care about anyone but himself and his supporters! #BlackLivesMatter #COVID19LivesMatter https://t.co/BrF5uGZPTJ,http://pbs.twimg.com/media/EaTvz6RX0AEl7EB.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
